Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
dropped_v9_minimal_processing,LogisticRegression,0.7965647772303206,0.7932874292468355,0.7037386790368898,0.7458072244520276,0.8502357746217396
dropped_v9_minimal_processing,SVM,0.7952168412572793,0.7907202270983402,0.7033394868881947,0.7444313185194068,0.8520477118722732
dropped_v9_minimal_processing,NeuralNetwork,0.7893247271933035,0.7919321672130968,0.6830848243870113,0.7333730150141387,0.8477517868745938
dropped_v9_minimal_processing,MultinomialNB,0.793030274664647,0.832944362920687,0.6402024361765912,0.7239147488433011,0.8477109440267334
dropped_v9_minimal_processing,KNN,0.7649074286816495,0.7922046793655853,0.6048699864306225,0.6855224483707273,0.8106869024412884
kept_v10_lemma_stem_custom_stopwords,PassiveAggressive,0.7845129789951245,0.7501306548787319,0.7396301580248068,0.744765628439453,0.8641058008888102
kept_v10_lemma_stem_custom_stopwords,LogisticRegression,0.7907272329586748,0.7754479569426216,0.71513202516547,0.7440015531660263,0.8628729828291328
kept_v10_lemma_stem_custom_stopwords,SVM,0.7905600124180655,0.7775475162138722,0.7111817947938348,0.7427930234720515,0.864500745596551
kept_v10_lemma_stem_custom_stopwords,NeuralNetwork,0.7897203818555131,0.7995599493536647,0.6744283587092952,0.7315697224754405,0.853187609809393
kept_v10_lemma_stem_custom_stopwords,MultinomialNB,0.7952625080258804,0.8323901189105192,0.6491397120159662,0.7293084078945125,0.8599588814575305
kept_v10_lemma_stem_custom_stopwords,KNN,0.7620093276605353,0.8362612888607195,0.549189606380242,0.6621006944396091,0.8253984512261741
kept_v1_basic_clean,PassiveAggressive,0.7905593068461642,0.7623100657918996,0.7372578369233886,0.7495607452568716,0.8597973970560009
kept_v1_basic_clean,SVM,0.794422454120187,0.7901334706489844,0.7032743176555886,0.7441686546969601,0.8603971962616822
kept_v1_basic_clean,LogisticRegression,0.7944216074339054,0.7900309539673713,0.703276656453914,0.7441179883075848,0.8601572765794099
kept_v1_basic_clean,NeuralNetwork,0.7823292339605867,0.7678932503733923,0.7001138215185038,0.732332108172843,0.8597512586555639
kept_v1_basic_clean,MultinomialNB,0.788207071241595,0.8225053287766079,0.640057378518917,0.7197906751257606,0.8573705171930136
kept_v1_basic_clean,KNN,0.7650336910582873,0.7973322425103653,0.6021290860755744,0.6854421426015211,0.8278871565457473
kept_v2_no_emojis_mentions,PassiveAggressive,0.7925747024250506,0.7651721019869366,0.7388388645913729,0.7517487693186699,0.858631018292953
kept_v2_no_emojis_mentions,SVM,0.794758306345208,0.790841855533778,0.7032774360533558,0.7444707210611955,0.8593046389393335
kept_v2_no_emojis_mentions,LogisticRegression,0.7937499029838636,0.7886076435480641,0.7032750972550305,0.7434809331061699,0.8589613692400822
kept_v2_no_emojis_mentions,NeuralNetwork,0.7858573756958702,0.7893941645652794,0.6768037982084805,0.7287022565628166,0.8539212103763417
kept_v2_no_emojis_mentions,MultinomialNB,0.787031447339641,0.8247737458455745,0.6337371658441893,0.7166581796612674,0.8560195848282175
kept_v2_no_emojis_mentions,KNN,0.7490736546507772,0.837523143400831,0.5175316322473512,0.6332292619465553,0.8115477034149798
kept_v3_lemmatized,PassiveAggressive,0.7872005023671937,0.7565628281987261,0.7364657638905131,0.7463636312291163,0.8634773958748578
kept_v3_lemmatized,SVM,0.7919028568606283,0.7842723915720177,0.7044632068043439,0.7421821598473747,0.8636637950126235
kept_v3_lemmatized,LogisticRegression,0.791398090722435,0.7824336407120122,0.7056466387570066,0.742001559201689,0.8629661823980157
kept_v3_lemmatized,NeuralNetwork,0.7878723479316159,0.7944080539226914,0.6768092554045732,0.7306404097180048,0.8571748903751607
kept_v3_lemmatized,MultinomialNB,0.7915665812924666,0.8336874560810491,0.6369000007795993,0.7220350587700383,0.8580109181910796
kept_v3_lemmatized,KNN,0.7512571174565543,0.8497999683180545,0.5127885492433987,0.6331564410180509,0.8143169302092099
kept_v4_stemmed,PassiveAggressive,0.7882072123559751,0.757936093200382,0.7372562777245052,0.7474080252149564,0.8633897329140275
kept_v4_stemmed,SVM,0.7935815535282122,0.7833772324825639,0.7111778967966258,0.7455104164298998,0.8640827316885915
kept_v4_stemmed,LogisticRegression,0.7929105546500715,0.78116008968859,0.7123621083487304,0.745161094743156,0.8620258817971092
kept_v4_stemmed,NeuralNetwork,0.7924076229988216,0.7944814723324496,0.6902347373919281,0.7385953469804293,0.8606417297839986
kept_v4_stemmed,MultinomialNB,0.795262931369021,0.8428038376133845,0.6372898005005029,0.7256874332471865,0.8586319410609616
kept_v4_stemmed,KNN,0.7556264420125733,0.8416244975818149,0.5262467744073096,0.6457578104344496,0.809399499490632
kept_v5_lemma_stem,LogisticRegression,0.7935822591001135,0.7815937084503198,0.7139431360167146,0.7461987037623952,0.8618321005152736
kept_v5_lemma_stem,PassiveAggressive,0.7863597428895991,0.7556339062847803,0.7352807727389667,0.7452685535286487,0.8635189204352512
kept_v5_lemma_stem,SVM,0.7920700774012375,0.7810599745863577,0.7099921260456378,0.7438055789638458,0.8639230928230794
kept_v5_lemma_stem,NeuralNetwork,0.792407764113202,0.8192783987629028,0.6590351677308199,0.7296503111182459,0.8555129851914189
kept_v5_lemma_stem,MultinomialNB,0.7949267969152396,0.8418954439172444,0.6372905800999448,0.7253689576110677,0.8587703562622728
kept_v5_lemma_stem,KNN,0.7557943681250838,0.8435865495736415,0.5246665263387671,0.6452952468741071,0.8070159897240554
kept_v6_custom_stopwords,PassiveAggressive,0.789281233904141,0.758507412217523,0.741106719367589,0.7493531340765498,0.8640835897009506
kept_v6_custom_stopwords,SVM,0.7933141417776179,0.7836590333650444,0.7114624505928854,0.7453036986692132,0.8639025156361151
kept_v6_custom_stopwords,LogisticRegression,0.79180097227808,0.7794838820204844,0.7126482213438734,0.7442760945959283,0.8654231682418263
kept_v6_custom_stopwords,NeuralNetwork,0.7839022359573551,0.7628199811085026,0.7142292490118578,0.737516726213124,0.8585331153053777
kept_v6_custom_stopwords,MultinomialNB,0.7884390632827437,0.819145225572603,0.6454545454545455,0.7217363193163965,0.8589599327439188
kept_v6_custom_stopwords,KNN,0.7565123580918514,0.855702952060374,0.51699604743083,0.6409917922880958,0.8140286207884112
kept_v7_lowercase_words_only,PassiveAggressive,0.7925748435394309,0.7649610383513016,0.7392341215083691,0.7518484642771863,0.8587546692061241
kept_v7_lowercase_words_only,SVM,0.7945903802326976,0.7909916315421096,0.7024869222193637,0.7440908269728181,0.859793705983966
kept_v7_lowercase_words_only,LogisticRegression,0.7935818357569728,0.7879999955604224,0.7036703541720264,0.743431159872942,0.8591846790981973
kept_v7_lowercase_words_only,NeuralNetwork,0.7850177451333178,0.7950755506017553,0.6665224407699324,0.7247699450469807,0.8516087537464381
kept_v7_lowercase_words_only,MultinomialNB,0.7866955951146201,0.8239468572009564,0.6337371658441893,0.7163387412939246,0.8562447402223502
kept_v7_lowercase_words_only,KNN,0.7494095068757982,0.837875986416684,0.5183205868824597,0.6337870233542693,0.8116768909362035
kept_v8_keep_hashtags,PassiveAggressive,0.7872005023671937,0.7565628281987261,0.7364657638905131,0.7463636312291163,0.8634773958748578
kept_v8_keep_hashtags,SVM,0.7919028568606283,0.7842723915720177,0.7044632068043439,0.7421821598473747,0.8636637950126235
kept_v8_keep_hashtags,LogisticRegression,0.791398090722435,0.7824336407120122,0.7056466387570066,0.742001559201689,0.8629661823980157
kept_v8_keep_hashtags,NeuralNetwork,0.7878723479316159,0.7944080539226914,0.6768092554045732,0.7306404097180048,0.8571748903751607
kept_v8_keep_hashtags,MultinomialNB,0.7915665812924666,0.8336874560810491,0.6369000007795993,0.7220350587700383,0.8580109181910796
kept_v8_keep_hashtags,KNN,0.7512571174565543,0.8497999683180545,0.5127885492433987,0.6331564410180509,0.8143169302092099
kept_v9_minimal_processing,PassiveAggressive,0.7917647058823529,0.7639755296593951,0.7386334285602474,0.7510286014525073,0.8607234487755826
kept_v9_minimal_processing,SVM,0.7964705882352942,0.7913172746341172,0.7081822095253004,0.7473649783077883,0.8612521072400332
kept_v9_minimal_processing,LogisticRegression,0.7936134453781511,0.7896138849973362,0.7018573161663992,0.7430787288224033,0.8611504421507158
kept_v9_minimal_processing,NeuralNetwork,0.7910924369747898,0.7975597209989294,0.6824803349900208,0.7352994279920504,0.8581929122796639
kept_v9_minimal_processing,MultinomialNB,0.7952941176470587,0.8359695490360206,0.6449184048839667,0.7280242615639658,0.8560782784218621
kept_v9_minimal_processing,KNN,0.76,0.7855235542166202,0.5998622470942747,0.6794989352209775,0.8203938320714539
prepended_v10_lemma_stem_custom_stopwords,PassiveAggressive,0.7876145814749682,0.7558579690251686,0.7386036460788936,0.7468462642619167,0.8588785046728972
prepended_v10_lemma_stem_custom_stopwords,LogisticRegression,0.7891298745798325,0.7636074668225717,0.7290837655194091,0.7456943582339486,0.8563343717549325
prepended_v10_lemma_stem_custom_stopwords,SVM,0.7891300161695451,0.768367883187141,0.7203543925821154,0.7434556737283234,0.8576342530781784
prepended_v10_lemma_stem_custom_stopwords,NeuralNetwork,0.7892977999790446,0.7713610493451959,0.7167821782178219,0.7427844801376551,0.8517171042871978
prepended_v10_lemma_stem_custom_stopwords,MultinomialNB,0.7930022116313117,0.8332297895271157,0.6402310231023103,0.7239397651738804,0.8555759531226821
prepended_v10_lemma_stem_custom_stopwords,KNN,0.7445302478103151,0.7856421530548756,0.5513641364136413,0.6464240573298301,0.7919540869307224
prepended_v1_basic_clean,PassiveAggressive,0.7871099557390557,0.7591511029494938,0.7306647807637907,0.7443058591406005,0.8602859368046283
prepended_v1_basic_clean,LogisticRegression,0.7877844891301578,0.7695406924457953,0.7144020116297345,0.740636445387168,0.8575025960539979
prepended_v1_basic_clean,SVM,0.7884571818549951,0.7720593293999121,0.7120226308345121,0.7405844912587255,0.8586532042723634
prepended_v1_basic_clean,NeuralNetwork,0.7913189931272353,0.7955985813892583,0.6842589973283043,0.7354168423099143,0.8550196558374128
prepended_v1_basic_clean,MultinomialNB,0.7948520812271863,0.831693627716686,0.6477652050919378,0.7280767105083366,0.8574933244325769
