Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
kept_v10_lemma_stem_custom_stopwords,SVM,0.7905600124180655,0.7775475162138722,0.7111817947938348,0.7427930234720515,0.864500745596551
kept_v10_lemma_stem_custom_stopwords,PassiveAggressive,0.7789701472528557,0.7464907119796467,0.7277716709154836,0.736891945002794,0.8524401677223132
kept_v10_lemma_stem_custom_stopwords,NeuralNetwork,0.7809854017173621,0.7715353389905546,0.6898425988726993,0.7280944149881609,0.8471157963118808
kept_v10_lemma_stem_custom_stopwords,LogisticRegression,0.7937520196995674,0.8378022828813204,0.6388692689696034,0.7248449416248823,0.8628674462210806
kept_v10_lemma_stem_custom_stopwords,MultinomialNB,0.7932466891038531,0.8528573051648369,0.6206897895861107,0.7183524548085513,0.8608945682183935
kept_v10_lemma_stem_custom_stopwords,KNN,0.7344643650911247,0.8559532232194513,0.4543801794637915,0.5902271200757954,0.7858864478599163
