Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
dropped_v10_lemma_stem_custom_stopwords,SVM,0.7908132346736215,0.7785563262895572,0.708850385038504,0.7418985552327721,0.860355473965287
dropped_v10_lemma_stem_custom_stopwords,PassiveAggressive,0.7808846808426286,0.76028178252329,0.706872544397297,0.7323458249815946,0.8469069870939029
dropped_v10_lemma_stem_custom_stopwords,NeuralNetwork,0.7800427884111651,0.7670424133681129,0.6921931478862173,0.727418753120406,0.8358496513870346
dropped_v10_lemma_stem_custom_stopwords,LogisticRegression,0.7903073346302951,0.8345386285169148,0.6311024673895961,0.7185934160977081,0.859438510606735
dropped_v10_lemma_stem_custom_stopwords,MultinomialNB,0.7862696207944315,0.8443337660273874,0.6084944208706585,0.707160951481103,0.8538588488354844
dropped_v10_lemma_stem_custom_stopwords,KNN,0.7307309144146823,0.8613242560431129,0.441071821467861,0.5791137957499242,0.7703743880729863
