Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
dropped_v7_lowercase_words_only,SVM,0.7948527891757495,0.7927074566179645,0.6997249724972497,0.7431509090869974,0.8613558819166296
dropped_v7_lowercase_words_only,PassiveAggressive,0.7849231026270556,0.765580226911857,0.7112266226622663,0.7372234843764842,0.8426846906987094
dropped_v7_lowercase_words_only,NeuralNetwork,0.7802102890412395,0.7717648204036915,0.6842487820210593,0.7252752851703808,0.831427087969144
dropped_v7_lowercase_words_only,LogisticRegression,0.7935061294186609,0.858203932426733,0.6152365236523651,0.7164465666679345,0.860692033822875
dropped_v7_lowercase_words_only,MultinomialNB,0.7908125267250583,0.8568059385240445,0.6088881030960238,0.7116908952189379,0.8575878949710725
dropped_v7_lowercase_words_only,KNN,0.6800880971192156,0.8928141415037629,0.3146071035674996,0.41988253888448,0.7267736611778669
dropped_v8_keep_hashtags,SVM,0.7943487297986878,0.7877389886283488,0.7060694640892661,0.7445057858184968,0.8598121569500073
dropped_v8_keep_hashtags,PassiveAggressive,0.7849231026270556,0.7649678426125353,0.7120242024202421,0.7374166428871808,0.8416267986945557
dropped_v8_keep_hashtags,NeuralNetwork,0.7808843976632034,0.7708254173928291,0.6886248624862488,0.7271371363328196,0.8319991470108292
dropped_v8_keep_hashtags,LogisticRegression,0.7950208561646745,0.850839615616597,0.6275333961967625,0.7220755589811245,0.8618519136626613
dropped_v8_keep_hashtags,MultinomialNB,0.791149085472046,0.8620438781445475,0.6049222065063649,0.7107579930984999,0.8578298842901646
dropped_v8_keep_hashtags,KNN,0.6814347568763044,0.895731755971432,0.31500314317146,0.4216616455553663,0.7313417890520695
dropped_v9_minimal_processing,SVM,0.7952168412572793,0.7907202270983402,0.7033394868881947,0.7444313185194068,0.8520477118722732
dropped_v9_minimal_processing,PassiveAggressive,0.7829235914324373,0.757934201642551,0.7176386127678374,0.7371514276031541,0.8413376032674278
dropped_v9_minimal_processing,LogisticRegression,0.7979146987992818,0.8636931892343291,0.6215374420145793,0.722795395415914,0.8510489185927783
dropped_v9_minimal_processing,NeuralNetwork,0.7771996857085316,0.7673388531133443,0.6811054309066237,0.7215578415436581,0.8342328042328042
dropped_v9_minimal_processing,MultinomialNB,0.7920193226848661,0.8556122886637452,0.6127946606077819,0.7140960150948408,0.8494077787060244
dropped_v9_minimal_processing,KNN,0.7541304649981988,0.8011300442378528,0.5615970841616965,0.6585355495809647,0.7968003341687553
kept_v1_basic_clean,SVM,0.794422454120187,0.7901334706489844,0.7032743176555886,0.7441686546969601,0.8603971962616822
kept_v1_basic_clean,PassiveAggressive,0.7794744900479083,0.7506624823822773,0.7214475602435468,0.7355987610605371,0.8512617929751518
kept_v1_basic_clean,NeuralNetwork,0.7781305166903033,0.7629668299832539,0.6934006907251054,0.7264738651150069,0.8454631188082267
kept_v1_basic_clean,LogisticRegression,0.793413768530082,0.857495777838745,0.6167481348083355,0.7173170631510694,0.8610468249398355
kept_v1_basic_clean,MultinomialNB,0.7900556696230129,0.8549606537318525,0.609635849100732,0.7116997068896629,0.8588561736870857
kept_v1_basic_clean,KNN,0.7594910004303989,0.8070204815389092,0.5764537580591093,0.6706202433135048,0.8156826268621459
kept_v2_no_emojis_mentions,SVM,0.794758306345208,0.790841855533778,0.7032774360533558,0.7444707210611955,0.8593046389393335
kept_v2_no_emojis_mentions,PassiveAggressive,0.7757778577425933,0.7430311105803353,0.7230278083120892,0.7327817440017299,0.8483015532031123
kept_v2_no_emojis_mentions,NeuralNetwork,0.7751082700082552,0.7656955483218003,0.6787808623929026,0.7195021955334087,0.8402845447431752
kept_v2_no_emojis_mentions,LogisticRegression,0.7924066351981598,0.8547257145635789,0.616749694007219,0.7163438130384473,0.861443615183594
kept_v2_no_emojis_mentions,MultinomialNB,0.7895520323998617,0.8564669993025096,0.6068706098806433,0.7102766724235725,0.8580016905109921
kept_v2_no_emojis_mentions,KNN,0.6780234108756853,0.8745219322207776,0.312795565638375,0.4111447651238047,0.7494020463303361
kept_v3_lemmatized,SVM,0.7919028568606283,0.7842723915720177,0.7044632068043439,0.7421821598473747,0.8636637950126235
kept_v3_lemmatized,PassiveAggressive,0.7751065766356919,0.7410042341845254,0.7246088359800734,0.7326287521247943,0.8543567568764673
kept_v3_lemmatized,LogisticRegression,0.7945902391183173,0.8494300686269055,0.6286011647215661,0.7223896618008347,0.8635143065952073
kept_v3_lemmatized,NeuralNetwork,0.7762826238807866,0.7702739267707631,0.6752251093388217,0.7195813050378914,0.8465575216665928
kept_v3_lemmatized,MultinomialNB,0.7888799046066789,0.8567946928585755,0.6044998479781087,0.7087461774095358,0.8599192024331548
kept_v3_lemmatized,KNN,0.6807102286758533,0.8839021511173198,0.309635849100732,0.4116892461737941,0.7516646734877679
kept_v4_stemmed,SVM,0.7935815535282122,0.7833772324825639,0.7111778967966258,0.7455104164298998,0.8640827316885915
kept_v4_stemmed,PassiveAggressive,0.7784648166571414,0.7488525635333259,0.7214553562379649,0.7347922730156405,0.8484187447402225
kept_v4_stemmed,LogisticRegression,0.7961029852747143,0.8414301787839336,0.6412454880682306,0.7278087749331009,0.8642091509057891
kept_v4_stemmed,NeuralNetwork,0.7772903216702298,0.7646975631120159,0.6882631304035988,0.7241382267417437,0.841302357856816
kept_v4_stemmed,MultinomialNB,0.7934148974451242,0.8648872654494077,0.6092351349876434,0.7147471826842893,0.8603076877648344
kept_v4_stemmed,KNN,0.7307688617008516,0.8632075876201334,0.4424717979901926,0.5791259608211459,0.7799991879641524
kept_v5_lemma_stem,SVM,0.7920700774012375,0.7810599745863577,0.7099921260456378,0.7438055789638458,0.8639230928230794
kept_v5_lemma_stem,PassiveAggressive,0.7779610383196098,0.7489723071667828,0.7194775124541011,0.7338244099112261,0.8485276313652537
kept_v5_lemma_stem,LogisticRegression,0.795095146370891,0.8398791677143056,0.6400597173172424,0.7264618583103328,0.8638787999586599
kept_v5_lemma_stem,NeuralNetwork,0.7777936766646205,0.7704899392149543,0.6799642943455654,0.7222715552144849,0.841444464130162
kept_v5_lemma_stem,MultinomialNB,0.7930787629913426,0.8638439121682048,0.6092351349876434,0.7144156057310214,0.8603962734936735
kept_v5_lemma_stem,KNN,0.7306007944739609,0.8636827179140081,0.4412875864380881,0.5783856183840281,0.7784609336935819
kept_v6_custom_stopwords,SVM,0.7933141417776179,0.7836590333650444,0.7114624505928854,0.7453036986692132,0.8639025156361151
kept_v6_custom_stopwords,PassiveAggressive,0.7795330525157166,0.7462676177206644,0.7300395256916996,0.7378699773542045,0.8524615910497677
kept_v6_custom_stopwords,NeuralNetwork,0.7781895025012523,0.7626412627935861,0.6948616600790514,0.7269794297808704,0.8452334100126568
kept_v6_custom_stopwords,LogisticRegression,0.7961683212327753,0.8475029889692263,0.6355731225296443,0.7259583726362833,0.8663303862605434
kept_v6_custom_stopwords,MultinomialNB,0.7901201588947921,0.850947805804023,0.6150197628458498,0.7134705547174104,0.8600759402455587
kept_v6_custom_stopwords,KNN,0.6882804507193305,0.9040614668470894,0.3201581027667984,0.442074854186694,0.7380698982844156
kept_v7_lowercase_words_only,SVM,0.7945903802326976,0.7909916315421096,0.7024869222193637,0.7440908269728181,0.859793705983966
kept_v7_lowercase_words_only,PassiveAggressive,0.7744345899568895,0.7410221368784249,0.7222380740775389,0.7314045403389999,0.8481982031861334
