mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__alpha,param_clf__early_stopping,param_clf__hidden_layer_sizes,param_clf__learning_rate,param_clf__n_iter_no_change,param_clf__solver,param_clf__validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
600.9680485725403,50.07323521390371,0.15965714454650878,0.025173211791662722,relu,0.0001,True,"(50,)",adaptive,5,sgd,0.1,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__early_stopping': True, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate': 'adaptive', 'clf__n_iter_no_change': 5, 'clf__solver': 'sgd', 'clf__validation_fraction': 0.1}",0.3655282817502668,0.3651895355045382,0.3653846153846154,0.36504543025120256,0.3653846153846154,0.3653064956550477,0.0001692508660066672,370
514.3964076519012,86.78990725792825,0.11502666473388672,0.038141535657434285,relu,0.0001,True,"(50,)",adaptive,5,sgd,0.2,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__early_stopping': True, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate': 'adaptive', 'clf__n_iter_no_change': 5, 'clf__solver': 'sgd', 'clf__validation_fraction': 0.2}",0.3655282817502668,0.3651895355045382,0.3653846153846154,0.39773094298738726,0.3653846153846154,0.37184359820228463,0.012944120753263545,193
515.1031831264496,127.43242049218628,0.15976495742797853,0.009434365336282419,relu,0.0001,True,"(50,)",adaptive,10,adam,0.1,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__early_stopping': True, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate': 'adaptive', 'clf__n_iter_no_change': 10, 'clf__solver': 'adam', 'clf__validation_fraction': 0.1}",0.7797435972830722,0.7664661782308841,0.772927099659773,0.7806746826937379,0.8055887270121804,0.7810800569759295,0.013286546012708319,43
460.74769978523256,110.5070236679163,0.14951882362365723,0.04314795381285202,relu,0.0001,True,"(50,)",adaptive,10,adam,0.2,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__early_stopping': True, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate': 'adaptive', 'clf__n_iter_no_change': 10, 'clf__solver': 'adam', 'clf__validation_fraction': 0.2}",0.7741899865733871,0.7586255438197187,0.7724869890649669,0.7742270827859774,0.8052810004575985,0.7769621205403296,0.015319144659998073,121
970.981077671051,57.22078017150094,0.12343053817749024,0.04388367889442492,relu,0.0001,True,"(50,)",adaptive,10,sgd,0.1,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__early_stopping': True, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate': 'adaptive', 'clf__n_iter_no_change': 10, 'clf__solver': 'sgd', 'clf__validation_fraction': 0.1}",0.3655282817502668,0.3651895355045382,0.3653846153846154,0.36504543025120256,0.3653846153846154,0.3653064956550477,0.0001692508660066672,370
949.5336095809937,175.701525504099,0.13916254043579102,0.03803905386777417,relu,0.0001,True,"(50,)",adaptive,10,sgd,0.2,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__early_stopping': True, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate': 'adaptive', 'clf__n_iter_no_change': 10, 'clf__solver': 'sgd', 'clf__validation_fraction': 0.2}",0.3655282817502668,0.3651895355045382,0.3653846153846154,0.3653846153846154,0.3653846153846154,0.36537433268173025,0.0001078587171602712,244
721.074698972702,172.99249803921333,0.15347328186035156,0.01934151799272501,relu,0.0001,True,"(100,)",constant,5,adam,0.1,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__early_stopping': True, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant', 'clf__n_iter_no_change': 5, 'clf__solver': 'adam', 'clf__validation_fraction': 0.1}",0.7806117379887871,0.7649568965517242,0.7681574239713774,0.7840508970949607,0.7977902532250358,0.779113441766377,0.011797361919454663,103
737.8685868740082,155.7310195160588,0.1600344657897949,0.011893006698536268,relu,0.0001,True,"(100,)",constant,5,adam,0.2,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__early_stopping': True, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant', 'clf__n_iter_no_change': 5, 'clf__solver': 'adam', 'clf__validation_fraction': 0.2}",0.7733197761570639,0.7702586206896551,0.7697632004598192,0.7854752119525107,0.7712329023725943,0.7740099423263287,0.00586085178706007,167
392.6685877799988,75.71596489092073,0.17912874221801758,0.020444885784364254,relu,0.0001,True,"(100,)",constant,5,sgd,0.1,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__early_stopping': True, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant', 'clf__n_iter_no_change': 5, 'clf__solver': 'sgd', 'clf__validation_fraction': 0.1}",0.3766531692801568,0.3651895355045382,0.3653846153846154,0.3653846153846154,0.3653846153846154,0.36759931018770825,0.004527559998544464,208
361.068487739563,122.20042983278755,0.13655481338500977,0.02282318485296485,relu,0.0001,True,"(100,)",constant,5,sgd,0.2,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__early_stopping': True, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant', 'clf__n_iter_no_change': 5, 'clf__solver': 'sgd', 'clf__validation_fraction': 0.2}",0.3655282817502668,0.3651895355045382,0.3653846153846154,0.3653846153846154,0.3653846153846154,0.36537433268173025,0.0001078587171602712,244
